mirror_id,x_m,y_m,radius_to_tower_m,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,average_output_power_kw,original_mirror_id,ring_index,group,mirror_width_m,mirror_height_m,installation_height_m,mirror_area_m2
1,0.0,-47.03477994232125,134.76527399690204,0.8435882076301773,0.9408869339767969,1.0,0.9750852447274365,0.9994140625,28.70571124749828,1,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
2,11.74556755179166,-47.54760249662809,134.76527399690204,0.8432977472006103,0.9403926874413909,1.0,0.9750852447274365,0.999609375,28.69649450231582,2,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
3,23.40174424234659,-49.082167270259646,134.76527399690204,0.8420770844759545,0.9389125494023544,1.0,0.9750852447274365,0.9997395833333333,28.656366979463442,3,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
4,34.87981952885775,-51.626795298693,134.76527399690204,0.83977574716028,0.9364543339012044,1.0,0.9750852447274365,0.999609375,28.579678710601918,4,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
5,46.09243832774345,-55.162120426143375,134.76527399690204,0.8355221563778249,0.9330310952741705,0.9985185185185185,0.9750852447274365,0.9995442708333333,28.439776425643313,5,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
6,56.954265839579826,-59.661236693703216,134.76527399690204,0.8275507533231757,0.9286611738319042,0.9934814814814815,0.9750852447274365,0.99921875,28.19396420096083,6,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
7,67.382636998451,-65.08990310993568,134.76527399690204,0.8196255568109498,0.9233682582899053,0.9892592592592593,0.9750852447274365,0.9990234375,27.94877341389303,7,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
8,77.29818560301537,-71.40680424549488,134.76527399690204,0.811600102628653,0.9171814632463462,0.9855555555555556,0.9750852447274365,0.9990234375,27.696791837006888,8,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
9,86.62544834122019,-78.56386466848998,134.76527399690204,0.803115239679523,0.910135419266453,0.9821481481481482,0.9750852447274365,0.9989583333333333,27.428791404616128,9,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
10,95.29343911167253,-86.50661482755075,134.76527399690204,0.7950551001942654,0.9022703722242635,0.9803703703703703,0.9750852447274365,0.9987630208333333,27.16772812904711,10,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
11,103.2361892707333,-95.17460559800308,134.76527399690204,0.7859105607173954,0.8936322874553893,0.978,0.9750852447274365,0.9987630208333333,26.869572314999793,11,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
12,110.3932496937284,-104.5018683362079,134.76527399690204,0.779991886034943,0.8842729529795482,0.9813333333333334,0.9750852447274365,0.998828125,26.65776704083661,12,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
13,116.71015082928758,-114.41741694077226,134.76527399690204,0.7743117012344367,0.8742500745526282,0.9860000000000001,0.9750852447274365,0.9988932291666667,26.45031307666284,13,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
14,122.13881724552007,-124.84578809964347,134.76527399690204,0.7674168000956978,0.8636273535822973,0.989925925925926,0.9750852447274365,0.998828125,26.207241909341192,14,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
15,126.6379335130799,-135.7076156114798,134.76527399690204,0.7598805443300164,0.8524745369154748,0.9939259259259259,0.9750852447274365,0.9986979166666666,25.944466646629248,15,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
16,130.1732586405303,-146.9202344103655,134.76527399690204,0.7504092712505276,0.8408674250022726,0.9956296296296296,0.9750852447274365,0.9986328125,25.62535651240821,16,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
17,132.71788666896364,-158.39830969687668,134.76527399690204,0.7397677738494941,0.8288878216120369,0.9959259259259259,0.9750852447274365,0.9985026041666667,25.271996526063887,17,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
18,134.2524514425952,-170.05448638743164,134.76527399690204,0.7296837000649278,0.816623403556375,0.9974814814814814,0.9750852447274365,0.9984375,24.934960176192437,18,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
19,134.76527399690204,-181.8000539392233,134.76527399690204,0.7191282240655618,0.8041674820035084,0.9982962962962963,0.9750852447274365,0.9984375,24.586575900259422,19,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
20,134.2524514425952,-193.54562149101494,134.76527399690204,0.707481222425047,0.7916186172094349,0.9976296296296295,0.9750852447274365,0.9986979166666666,24.20469466488138,20,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
21,132.71788666896364,-205.20179818156987,134.76527399690204,0.6957182270535435,0.7790800356806926,0.9966666666666666,0.9750852447274365,0.9990234375,23.819237059970337,21,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
22,130.1732586405303,-216.67987346808104,134.76527399690204,0.6832382441148878,0.766658784410815,0.9945925925925926,0.9750852447274365,0.9988932291666667,23.410538627766115,22,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
23,126.63793351307991,-227.8924922669667,134.76527399690204,0.668790199002485,0.7544645457032082,0.989037037037037,0.9750852447274365,0.9983072916666667,22.95265216593663,23,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
24,122.13881724552009,-238.7543197788031,134.76527399690204,0.6560186946555396,0.7426080381549439,0.9859259259259259,0.9750852447274365,0.998046875,22.54762664319042,24,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
25,116.71015082928761,-249.1826909376743,134.76527399690204,0.643910362583542,0.7311989601365302,0.984148148148148,0.9750852447274365,0.9979166666666667,22.160478409760636,25,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
26,110.3932496937284,-259.0982395422387,134.76527399690204,0.632871577056809,0.7203435083509322,0.9833333333333332,0.9750852447274365,0.9978515625,21.80392297836452,26,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
27,103.2361892707333,-268.4255022804435,134.76527399690204,0.6225764767212297,0.7101416311353088,0.9814814814814814,0.9750852447274365,0.9975260416666667,21.47136340474556,27,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
28,95.29343911167254,-277.0934930508958,134.76527399690204,0.6116558328022139,0.7006843283651656,0.9774074074074074,0.9750852447274365,0.9975911458333333,21.121908813476885,28,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
29,86.62544834122022,-285.0362432099566,134.76527399690204,0.6060049086081813,0.6920514194029109,0.9797777777777779,0.9750852447274365,0.9977864583333333,20.92204354469239,29,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
30,77.29818560301536,-292.1933036329517,134.76527399690204,0.6036660884029396,0.6843101821327912,0.9865185185185185,0.9750852447274365,0.9975260416666667,20.82089732327783,30,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
31,67.38263699845106,-298.51020476851085,134.76527399690204,0.6010578992964511,0.6775150821468457,0.9920000000000001,0.9750852447274365,0.9973307291666667,20.71560649023165,31,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
32,56.95426583957983,-303.93887118474333,134.76527399690204,0.5974644902680682,0.6717085268839202,0.9942962962962963,0.9750852447274365,0.9963541666666667,20.587657527151787,32,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
33,46.09243832774347,-308.4379874523032,134.76527399690207,0.5936178865111029,0.6669223345612524,0.9941481481481482,0.9750852447274365,0.9967447916666666,20.46004700735614,33,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
34,34.87981952885773,-311.9733125797536,134.76527399690207,0.5915109100055571,0.6631795109491637,0.9967407407407408,0.9750852447274365,0.9969401041666667,20.38354293003679,34,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
35,23.401744242346584,-314.5179406081869,134.765273996902,0.5903750281501505,0.6604959805898293,0.9993333333333333,0.9750852447274365,0.9972005208333333,20.338773898338907,35,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
36,11.745567551791664,-316.0525053818185,134.76527399690204,0.589151908500006,0.6588820442097921,1.0,0.9750852447274365,0.9971354166666667,20.296023057444973,36,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
37,1.6503986143652212e-14,-316.5653279361253,134.765273996902,0.5886140003710347,0.6583434506313289,1.0,0.9750852447274365,0.9970703125,20.27798289767964,37,1,1,6.173283002455718,5.6992852116951465,2.910585252215359,35.18330052350488
