phase,sweep,parameter,old_value,new_value,step,tower_y,initial_spacing,spacing_growth,w1,h1,H2,legal,feasible,annual_power_mw,unit_area_power_kw_m2,accepted,stage_selected
tower_coarse,0,tower_y,-178.8000539392233,-178.3000539392233,0.5,-178.3000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09142438306454,0.6930185975959119,False,False
tower_coarse,0,tower_y,-178.8000539392233,-177.8000539392233,1.0,-177.8000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09455919347421,0.693070211005191,False,False
tower_coarse,0,tower_y,-178.8000539392233,-177.3000539392233,1.5,-177.3000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.0959306287014,0.6930927911419238,False,False
tower_coarse,0,tower_y,-178.8000539392233,-176.8000539392233,2.0,-176.8000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09646213618047,0.6931015422016267,False,False
tower_coarse,0,tower_y,-178.8000539392233,-176.3000539392233,2.5,-176.3000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09730843041864,0.6931154761003887,False,True
tower_coarse,0,tower_y,-178.8000539392233,-175.8000539392233,3.0,-175.8000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09674462420046,0.6931061932547646,False,False
tower_fine,0,tower_y,-176.3000539392233,-176.7000539392233,-0.4000000000000057,-176.7000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09677762668703,0.6931067366276079,False,False
tower_fine,0,tower_y,-176.3000539392233,-176.6000539392233,-0.30000000000001137,-176.6000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09679287189684,0.6931069876339372,False,False
tower_fine,0,tower_y,-176.3000539392233,-176.50005393922328,-0.19999999999998863,-176.50005393922328,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09707737582745,0.6931116718782435,False,False
tower_fine,0,tower_y,-176.3000539392233,-176.40005393922328,-0.09999999999999432,-176.40005393922328,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09708944332137,0.6931118705647414,False,False
tower_fine,0,tower_y,-176.3000539392233,-176.3000539392233,0.0,-176.3000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09730843041864,0.6931154761003887,False,True
tower_fine,0,tower_y,-176.3000539392233,-176.2000539392233,0.09999999999999432,-176.2000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09728576950417,0.693115102997425,False,False
tower_fine,0,tower_y,-176.3000539392233,-176.1000539392233,0.19999999999998863,-176.1000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09705917522633,0.6931113722125688,False,False
tower_fine,0,tower_y,-176.3000539392233,-176.00005393922328,0.30000000000001137,-176.00005393922328,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09695748915348,0.693109697991736,False,False
tower_fine,0,tower_y,-176.3000539392233,-175.90005393922328,0.4000000000000057,-175.90005393922328,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09683075631248,0.6931076113858056,False,False
local_fine,1,tower_y,-176.3000539392233,-176.40005393922328,-0.09999999999999432,-176.40005393922328,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09708944332137,0.6931118705647414,False,False
local_fine,1,tower_y,-176.3000539392233,-176.2000539392233,0.09999999999999432,-176.2000539392233,11.760145900398493,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.09728576950417,0.693115102997425,False,False
local_fine,1,initial_spacing,11.760145900398493,11.710145900398492,-0.05000000000000071,-176.3000539392233,11.710145900398492,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.190095954747825,0.692930277413591,False,False
local_fine,1,initial_spacing,11.760145900398493,11.810145900398494,0.05000000000000071,-176.3000539392233,11.810145900398494,0.18357327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,False,41.991563219089116,0.693240932560136,False,False
local_fine,1,spacing_growth,0.18357327435165643,0.17857327435165643,-0.0050000000000000044,-176.3000539392233,11.760145900398493,0.17857327435165643,6.073283002455718,5.6992852116951465,3.210585252215359,True,True,42.18324525635558,0.6928355723689759,False,False
local_fine,1,spacing_growth,0.18357327435165643,0.18857327435165644,0.0050000000000000044,-176.3000539392233,11.760145900398493,0.18857327435165644,6.073283002455718,5.6992852116951465,3.210585252215359,True,False,41.99877381201536,0.6933599726191692,False,False
local_fine,1,w1,6.073283002455718,6.053283002455719,-0.019999999999999574,-176.3000539392233,11.760145900398493,0.18357327435165643,6.053283002455719,5.6992852116951465,3.210585252215359,True,True,42.09182619921204,0.6931188706909285,True,False
local_fine,1,w1,6.073283002455718,6.093283002455718,0.019999999999999574,-176.3000539392233,11.760145900398493,0.18357327435165643,6.093283002455718,5.6992852116951465,3.210585252215359,True,True,42.10279574086526,0.6931121660434815,False,False
