month,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,field_output_mw,unit_area_output_kw_m2
1,0.694728173351736,0.8564608632559821,0.942224037516073,0.9596247387211904,0.9799076752893126,37.43175081636243,0.6063508008439458
2,0.714486148670453,0.8553216290900465,0.970116632629907,0.9596247387211904,0.9779782164737917,41.599893438892614,0.6738698605214369
3,0.7138508835048275,0.849160497443259,0.9773106421601996,0.9596247387211904,0.9757993320285909,43.843958584829146,0.7102211042839865
4,0.7067578900230195,0.8364103106846542,0.9825011723772785,0.9596247387211904,0.9747792928863174,44.908601637486974,0.7274670827250973
5,0.698035315969148,0.8232349107814041,0.9854129037137888,0.9596247387211904,0.9747718473451329,45.03124046208716,0.7294536889588185
6,0.6943267540403436,0.8173569623671654,0.9864070796460176,0.9596247387211904,0.9754493915929203,44.98201396908857,0.7286562770611258
7,0.6981700164754148,0.8234165206466469,0.9853838590121775,0.9596247387211904,0.9747798247106877,45.03323610731611,0.7294860160890322
8,0.7072325674229126,0.8371112450177174,0.9823462673020196,0.9596247387211904,0.9748000340367596,44.88722234317428,0.7271207630380598
9,0.7141253222724968,0.8496379276090729,0.9770988578776189,0.9596247387211904,0.9758881466984342,43.76130301722431,0.7088821802818129
10,0.713270055874972,0.8556956592604509,0.9679655094168368,0.9596247387211904,0.9782505105513956,41.18812110268858,0.6671996278879808
11,0.6920420877062698,0.8563868657370154,0.9386842145072235,0.9596247387211904,0.9800523315180396,36.98067677148591,0.5990439262685988
12,0.6776464659417496,0.8558441463578461,0.9200223886241584,0.9596247387211904,0.9805150187202178,34.88283483840206,0.565061328382385
