mirror_id,original_campo_mirror_id,ring_index,campo_zone,zone_row_index,normalized_zone_row,azimuth_rad,centered_azimuth_feature,nominal_ring_count,actual_ring_count,mirror_width_m,mirror_height_m,x_m,y_m,z_m
1,1,1,1,0,0.0,0.0,1.0,72,72,6.7400907905170815,6.222572292991552,0.0,-47.03477994232125,3.160585252215359
2,2,1,1,0,0.0,0.08726646259971646,0.9961946980917455,72,72,6.7400907905170815,6.222572292991552,11.74556755179166,-47.54760249662809,3.160585252215359
3,3,1,1,0,0.0,0.17453292519943295,0.984807753012208,72,72,6.7400907905170815,6.222572292991552,23.40174424234659,-49.082167270259646,3.160585252215359
4,4,1,1,0,0.0,0.2617993877991494,0.9659258262890683,72,72,6.7400907905170815,6.222572292991552,34.87981952885775,-51.626795298693,3.160585252215359
5,5,1,1,0,0.0,0.3490658503988659,0.9396926207859084,72,72,6.7400907905170815,6.222572292991552,46.09243832774345,-55.162120426143375,3.160585252215359
6,6,1,1,0,0.0,0.43633231299858244,0.9063077870366499,72,72,6.7400907905170815,6.222572292991552,56.954265839579826,-59.661236693703216,3.160585252215359
7,7,1,1,0,0.0,0.5235987755982987,0.8660254037844387,72,72,6.7400907905170815,6.222572292991552,67.382636998451,-65.08990310993568,3.160585252215359
8,8,1,1,0,0.0,0.6108652381980154,0.8191520442889918,72,72,6.7400907905170815,6.222572292991552,77.29818560301537,-71.40680424549488,3.160585252215359
9,9,1,1,0,0.0,0.6981317007977318,0.766044443118978,72,72,6.7400907905170815,6.222572292991552,86.62544834122019,-78.56386466848998,3.160585252215359
10,10,1,1,0,0.0,0.7853981633974483,0.7071067811865476,72,72,6.7400907905170815,6.222572292991552,95.29343911167253,-86.50661482755075,3.160585252215359
11,11,1,1,0,0.0,0.8726646259971647,0.6427876096865395,72,72,6.7400907905170815,6.222572292991552,103.2361892707333,-95.17460559800308,3.160585252215359
12,12,1,1,0,0.0,0.9599310885968811,0.5735764363510462,72,72,6.7400907905170815,6.222572292991552,110.3932496937284,-104.5018683362079,3.160585252215359
13,13,1,1,0,0.0,1.0471975511965976,0.5000000000000001,72,72,6.7400907905170815,6.222572292991552,116.71015082928758,-114.41741694077226,3.160585252215359
14,14,1,1,0,0.0,1.1344640137963142,0.4226182617406995,72,72,6.7400907905170815,6.222572292991552,122.13881724552007,-124.84578809964347,3.160585252215359
15,15,1,1,0,0.0,1.2217304763960306,0.3420201433256689,72,72,6.7400907905170815,6.222572292991552,126.6379335130799,-135.7076156114798,3.160585252215359
16,16,1,1,0,0.0,1.308996938995747,0.258819045102521,72,72,6.7400907905170815,6.222572292991552,130.1732586405303,-146.9202344103655,3.160585252215359
17,17,1,1,0,0.0,1.3962634015954636,0.17364817766693047,72,72,6.7400907905170815,6.222572292991552,132.71788666896364,-158.39830969687668,3.160585252215359
18,18,1,1,0,0.0,1.4835298641951802,0.08715574274765818,72,72,6.7400907905170815,6.222572292991552,134.2524514425952,-170.05448638743164,3.160585252215359
19,19,1,1,0,0.0,1.5707963267948966,1.0286570338081103e-16,72,72,6.7400907905170815,6.222572292991552,134.76527399690204,-181.8000539392233,3.160585252215359
20,20,1,1,0,0.0,1.658062789394613,-0.08715574274765797,72,72,6.7400907905170815,6.222572292991552,134.2524514425952,-193.54562149101494,3.160585252215359
21,21,1,1,0,0.0,1.7453292519943295,-0.17364817766693025,72,72,6.7400907905170815,6.222572292991552,132.71788666896364,-205.20179818156987,3.160585252215359
22,22,1,1,0,0.0,1.832595714594046,-0.2588190451025206,72,72,6.7400907905170815,6.222572292991552,130.1732586405303,-216.67987346808104,3.160585252215359
23,23,1,1,0,0.0,1.9198621771937623,-0.34202014332566844,72,72,6.7400907905170815,6.222572292991552,126.63793351307991,-227.8924922669667,3.160585252215359
24,24,1,1,0,0.0,2.007128639793479,-0.4226182617406993,72,72,6.7400907905170815,6.222572292991552,122.13881724552009,-238.7543197788031,3.160585252215359
25,25,1,1,0,0.0,2.0943951023931953,-0.4999999999999998,72,72,6.7400907905170815,6.222572292991552,116.71015082928761,-249.1826909376743,3.160585252215359
26,26,1,1,0,0.0,2.181661564992912,-0.5735764363510462,72,72,6.7400907905170815,6.222572292991552,110.3932496937284,-259.0982395422387,3.160585252215359
27,27,1,1,0,0.0,2.2689280275926285,-0.6427876096865394,72,72,6.7400907905170815,6.222572292991552,103.2361892707333,-268.4255022804435,3.160585252215359
28,28,1,1,0,0.0,2.356194490192345,-0.7071067811865475,72,72,6.7400907905170815,6.222572292991552,95.29343911167254,-277.0934930508958,3.160585252215359
29,29,1,1,0,0.0,2.443460952792061,-0.7660444431189779,72,72,6.7400907905170815,6.222572292991552,86.62544834122022,-285.0362432099566,3.160585252215359
30,30,1,1,0,0.0,2.530727415391778,-0.8191520442889919,72,72,6.7400907905170815,6.222572292991552,77.29818560301536,-292.1933036329517,3.160585252215359
