month,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,field_output_mw,unit_area_output_kw_m2
1,0.7038130451061619,0.8559218270516986,0.9528981344657315,0.9597512795929463,0.9813924850592525,37.64967231103071,0.6141801363993515
2,0.7230908495498919,0.8549445019228352,0.9802377821299512,0.9597512795929463,0.9794062466399055,41.80464338488674,0.6819602934162452
3,0.7209898815312563,0.8489783170120315,0.985638670250145,0.9597512795929463,0.9770907302379458,43.971698230027066,0.7173115185046828
4,0.7127599052686139,0.8364473830600776,0.9894542894532362,0.9597512795929463,0.9758353622280355,44.973260241197714,0.7336500270460433
5,0.7031727122110248,0.8234332149634739,0.991279256552396,0.9597512795929463,0.9756862413368914,45.04516698279819,0.7348230436927585
6,0.6991333573412837,0.8176168398878356,0.99193068646777,0.9597512795929463,0.9762151084768286,44.97647397551456,0.7337024527820433
7,0.7033085900651328,0.8236128406425178,0.9912602652338137,0.9597512795929463,0.9756872453294749,45.0471356797019,0.7348551590993113
8,0.7132492026994308,0.8371384702241906,0.9893124693782095,0.9597512795929463,0.9758649968582634,44.952514100212696,0.7333115946794962
9,0.7212492321189797,0.8494448089641177,0.9853816951790464,0.9597512795929463,0.9771979613982082,43.88769699863819,0.7159412041145355
10,0.7221132930281853,0.855296553519161,0.9783959439375909,0.9597512795929463,0.9796916671546286,41.40474884986499,0.6754368029051989
11,0.7012764483592753,0.8558351155605542,0.9495409542273968,0.9597512795929463,0.9815257356727869,37.205065386689725,0.6069272514557598
12,0.6874306714082765,0.8552418119886799,0.9315943770525387,0.9597512795929463,0.981986953235045,35.1333777162438,0.5731317537021565
