mirror_id,x_m,y_m,radius_to_tower_m,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,average_output_power_kw,original_campo_mirror_id,ring_index,campo_zone,zone_row_index,normalized_zone_row,centered_azimuth_feature,mirror_width_m,mirror_height_m,installation_height_m,mirror_area_m2
1,0.0,-47.03477994232125,134.76527399690204,0.8411147483382477,0.9407897424394691,1.0,0.9750998402921652,0.9965494791666667,34.114460392324354,1,1,1,0,0.0,1.0,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
2,11.74556755179166,-47.54760249662809,134.76527399690204,0.8407331680226016,0.9402949964999406,1.0,0.9750998402921652,0.9966145833333333,34.09959847109723,2,1,1,0,0.0,0.9961946980917455,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
3,23.40174424234659,-49.082167270259646,134.76527399690204,0.8395231809092852,0.9388133610625513,0.9997037037037036,0.9750998402921652,0.9970052083333333,34.0513757628415,3,1,1,0,0.0,0.984807753012208,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
4,34.87981952885775,-51.626795298693,134.76527399690204,0.8359352150869788,0.9363526526527775,0.998,0.9750998402921652,0.9969401041666667,33.91120748656142,4,1,1,0,0.0,0.9659258262890683,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
5,46.09243832774345,-55.162120426143375,134.76527399690204,0.8298723780361635,0.9329259298873928,0.9946666666666667,0.9750998402921652,0.9964192708333334,33.68479780933851,5,1,1,0,0.0,0.9396926207859084,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
6,56.954265839579826,-59.661236693703216,134.76527399690204,0.8212777745583703,0.9285515393682467,0.9884444444444445,0.9750998402921652,0.9963541666666667,33.370568262024776,6,1,1,0,0.0,0.9063077870366499,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
7,67.382636998451,-65.08990310993568,134.76527399690204,0.8141028556465035,0.923253178418361,0.9848148148148148,0.9750998402921652,0.9964192708333334,33.10464761093737,7,1,1,0,0.0,0.8660254037844387,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
8,77.29818560301537,-71.40680424549488,134.76527399690204,0.8058948035592016,0.917059972962343,0.9808148148148148,0.9750998402921652,0.9963541666666667,32.80080974323013,8,1,1,0,0.0,0.8191520442889918,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
9,86.62544834122019,-78.56386466848998,134.76527399690204,0.7985014125121499,0.9100065681161335,0.9785925925925927,0.9750998402921652,0.996484375,32.52332512779212,9,1,1,0,0.0,0.766044443118978,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
10,95.29343911167253,-86.50661482755075,134.76527399690204,0.7870299220308997,0.902133228142718,0.9725925925925925,0.9750998402921652,0.9958984375,32.085206551891034,10,1,1,0,0.0,0.7071067811865476,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
11,103.2361892707333,-95.17460559800308,134.76527399690204,0.7782799482684468,0.893485941332582,0.970962962962963,0.9750998402921652,0.9955078125,31.739900936808738,11,1,1,0,0.0,0.6427876096865395,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
12,110.3932496937284,-104.5018683362079,134.76527399690204,0.7721691201575378,0.884116524071797,0.974,0.9750998402921652,0.9953776041666667,31.480654119238135,12,1,1,0,0.0,0.5735764363510462,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
13,116.71015082928758,-114.41741694077226,134.76527399690204,0.7675336260606319,0.874082716860557,0.9805925925925928,0.9750998402921652,0.9950520833333333,31.267558565254337,13,1,1,0,0.0,0.5000000000000001,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
14,122.13881724552007,-124.84578809964347,134.76527399690204,0.7616202232405994,0.8634482633188187,0.9855555555555556,0.9750998402921652,0.9951822916666667,31.017537007898262,14,1,1,0,0.0,0.4226182617406995,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
15,126.6379335130799,-135.7076156114798,134.76527399690204,0.7528844570200471,0.8522829611906001,0.988148148148148,0.9750998402921652,0.9947916666666666,30.655708646034164,15,1,1,0,0.0,0.3420201433256689,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
16,130.1732586405303,-146.9202344103655,134.76527399690204,0.7428584689354992,0.8406626718563452,0.989111111111111,0.9750998402921652,0.9946614583333333,30.24916286222879,16,1,1,0,0.0,0.258819045102521,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
17,132.71788666896364,-158.39830969687668,134.76527399690204,0.7338548686641053,0.8286692715342683,0.9920740740740741,0.9750998402921652,0.9944661458333334,29.88464586259636,17,1,1,0,0.0,0.17364817766693047,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
18,134.2524514425952,-170.05448638743164,134.76527399690204,0.724285881558632,0.8163905226249824,0.9941481481481482,0.9750998402921652,0.9944661458333334,29.503045508119662,18,1,1,0,0.0,0.08715574274765818,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
19,134.76527399690204,-181.8000539392233,134.76527399690204,0.712447291396975,0.8039198367601763,0.9937037037037038,0.9750998402921652,0.994140625,29.03927255752329,19,1,1,0,0.0,1.0286570338081103e-16,6.7400907905170815,6.222572292991552,3.160585252215359,41.94070220531912
