month,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,field_output_mw,unit_area_output_kw_m2
1,0.5753066217896944,0.7236704197542476,0.9133967526265521,0.9649585517297892,0.9957199140401146,33.66265638145267,0.5018449678053346
2,0.6074863104028545,0.7447500895948533,0.9334866602992677,0.9649585517297892,0.9930368015759312,38.42617136173696,0.5728597443824479
3,0.6281233914018461,0.7659941691286359,0.9376738618274434,0.9649585517297892,0.9907575214899713,41.91204466038768,0.6248273595792895
4,0.6452983643255983,0.7846489250119688,0.9387267749124483,0.9649585517297892,0.9898804620343841,44.548382690953986,0.6641300503438392
5,0.6554696129742357,0.7948673400008329,0.9395183699458771,0.9649585517297892,0.9900465616045846,45.94119901990693,0.6848942425050751
6,0.6587969365193734,0.7979818007603354,0.9398830945558739,0.9649585517297892,0.9902883237822351,46.370118346294916,0.6912885984080412
7,0.655353294558805,0.7947596918300681,0.939505635148042,0.9649585517297892,0.9900326826647564,45.92616674694174,0.6846701404479834
8,0.6446179180308195,0.7839286947846646,0.9387160776822668,0.9649585517297892,0.9898715078796562,44.4503672621747,0.6626688302564291
9,0.6270963550093932,0.7649193132880691,0.937505253104107,0.9649585517297892,0.9908582557306589,41.748683437476515,0.622391960342714
10,0.6041096502765301,0.7420742458624546,0.931933524355301,0.9649585517297892,0.9933716869627508,37.89962431514122,0.5650099483754867
11,0.5719757978848561,0.7218795081061062,0.9108635466411972,0.9649585517297892,0.9959227256446992,33.19008371423858,0.494799825191622
12,0.5564054736465168,0.7145550556025648,0.8978888252148997,0.9649585517297892,0.9967003939828081,31.08741860524516,0.46345316341986714
