month,solar_time,dni_kw_m2,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,field_output_mw,unit_area_output_kw_m2,maximum_reflection_error
1,9.0,0.7925396841601171,0.5359789224942009,0.7056580595974505,0.8810366125437759,0.9649585517297892,0.99782861747851,28.493614157883187,0.4247845659500339,8.41868291085074e-16
1,10.5,0.9100911454852126,0.5969420571384761,0.7325736427662026,0.9329207258834766,0.9649585517297892,0.994790920487106,36.4414691349018,0.5432716805694552,9.554531875709819e-16
1,12.0,0.9391840362887128,0.606677516692176,0.7418886885720064,0.9362674307545368,0.9649585517297892,0.9933716869627507,38.219712230184975,0.5697818388525708,8.8470216988485605e-16
1,13.5,0.9100911454852126,0.5982142124180756,0.7325736441364056,0.9337026424705508,0.9649585517297892,0.9948088287965616,36.51913028610054,0.5444294578251007,9.554531875709819e-16
1,15.0,0.7925396841601171,0.5387204002055428,0.7056580636991729,0.8830563514804203,0.9649585517297892,0.9977995164756447,28.639356098192888,0.4269572958295127,8.899114524108741e-16
2,9.0,0.8875714408097994,0.58657353443329,0.7262630281818819,0.9248646927730022,0.9649585517297892,0.9956997671919771,34.922441141906276,0.5206259170978517,9.019494489765868e-16
2,10.5,0.9708000370097122,0.6169416993856874,0.7538944445666479,0.9374466730340656,0.9649585517297892,0.9916345809455588,40.17470717047643,0.5989270245964601,8.08254562088053e-16
2,12.0,0.9921771917861091,0.6265316781052892,0.763435495016579,0.9400140082776186,0.9649585517297892,0.990539935530086,41.69760239179119,0.6216304409475444,8.025154038416283e-16
2,13.5,0.9708000370097122,0.6184799096026256,0.7538944466213268,0.9386564788283985,0.9649585517297892,0.9915898101719197,40.27487408267196,0.6004203191319923,8.08254562088053e-16
2,15.0,0.8875714408097994,0.5889047304873807,0.7262630335878304,0.9264514485832538,0.9649585517297892,0.9957199140401146,35.061232021838975,0.5226950201383911,1.1430445635548515e-15
3,9.0,0.9548220128815966,0.6096062000308868,0.7475485646874463,0.9330124164278891,0.9649585517297892,0.992491941260745,39.043667761162254,0.5820654189785928,9.485749680535094e-16
3,10.5,1.0147803402321796,0.635999529182886,0.7751211170527978,0.9392142629735752,0.9649585517297892,0.9896870522922636,43.29199995287291,0.6453998186117151,7.711855592701269e-16
3,12.0,1.030801341050838,0.6456945487556094,0.7846314733411579,0.9411117478510028,0.9649585517297892,0.9894251432664757,44.6458303957218,0.665582806766498,8.025154038416283e-16
3,13.5,1.0147803402321796,0.6373374478714545,0.7751211196441292,0.9401540910538045,0.9649585517297892,0.9896870522922636,43.383071051426825,0.6467575121937037,8.622116668970984e-16
3,15.0,0.9548220128815966,0.611979231168394,0.7475485709176485,0.9348767908309457,0.9649585517297892,0.9924964183381089,39.19565414075457,0.5843312413459381,9.019494489765868e-16
4,9.0,0.9992774792374354,0.6265996357637755,0.7669118531769512,0.9347214262973575,0.9649585517297892,0.9902444484240688,42.00055683181853,0.6261469045171207,8.465450562766819e-16
4,10.5,1.0440430323468193,0.6531813025929468,0.7934249639114123,0.9398866602992678,0.9649585517297892,0.9894564828080229,45.74366464707611,0.6819493878313855,7.835728851042836e-16
4,12.0,1.0564526886101677,0.6636450385444727,0.8025709816016229,0.9420744985673353,0.9649585517297892,0.9900094018624642,47.02888853769085,0.7011095852531067,8.068235998053638e-16
4,13.5,1.0440430323468193,0.6546455716012589,0.7934249667757161,0.941127029608405,0.9649585517297892,0.9894564828080229,45.84621049491872,0.6834781476869951,8.455206652451151e-16
4,15.0,0.9992774792374354,0.6284202731255376,0.7669118595941414,0.9358242597898758,0.9649585517297892,0.990235494269341,42.1225929432657,0.6279662264305881,8.465450562766819e-16
5,9.0,1.0199091178996695,0.6370610883775588,0.7780433033418661,0.9360432983126393,0.9649585517297892,0.9895885565902579,43.58342576589678,0.6497444126953593,7.928578270080922e-16
5,10.5,1.05724714116401,0.6634934437900006,0.8031897587041944,0.9407755491881565,0.9649585517297892,0.9900676038681948,47.05350349940648,0.7014765466280422,9.305364597889227e-16
5,12.0,1.067847324679981,0.6731544113825575,0.8118705668670881,0.9416236867239732,0.9649585517297892,0.990929441260745,48.21727587200449,0.7188261372913913,8.337074528450333e-16
5,13.5,1.05724714116401,0.6650242153615216,0.8031897615779295,0.9422018465456861,0.9649585517297892,0.990063126790831,47.16206247036769,0.7030949504958076,8.741904837807691e-16
5,15.0,1.0199091178996695,0.6386149059595401,0.778043309513086,0.9369474689589303,0.9649585517297892,0.989584079512894,43.6897274918592,0.651329165414775,8.688869536365456e-16
6,9.0,1.0258814453378144,0.6406737615558852,0.7815885794525488,0.9366596625278573,0.9649585517297892,0.989496776504298,44.087241205408425,0.6572553244949659,1.149764460151469e-15
6,10.5,1.0608998716279543,0.666716364982223,0.8060901224282695,0.9409003502069404,0.9649585517297892,0.990622761461318,47.445422945475585,0.7073193060218967,8.08254562088053e-16
6,12.0,1.070928078720152,0.6764508877700429,0.8145515911932946,0.9418147086914995,0.9649585517297892,0.9917823244985673,48.593187395821545,0.7244302495881132,9.550499576785472e-16
6,13.5,1.0608998716279543,0.6678207557716933,0.8060901252677545,0.9422833492518307,0.9649585517297892,0.9900496955587392,47.52401451882762,0.7084909540686728,8.925046918636119e-16
6,15.0,1.0258814453378144,0.642322912517023,0.7815885854598098,0.9377574021012417,0.9649585517297892,0.9894900608882522,44.20072566594141,0.6589471578665581,1.0265811539126828e-15
7,9.0,1.0197008955484417,0.6369556234873385,0.7779225152965227,0.9360534861509072,0.9649585517297892,0.9895773638968481,43.56731414783414,0.6495042196946552,8.899114524108741e-16
7,10.5,1.0571176853203668,0.6633926111317084,0.8030886404675806,0.9407679083094557,0.9649585517297892,0.9900676038681948,47.04059202304611,0.7012840615381857,7.952832160537328e-16
7,12.0,1.067737230730951,0.6729805714689014,0.8117761385717233,0.9415472779369628,0.9649585517297892,0.990886909025788,48.199854051799335,0.7185664117159377,7.771561172376096e-16
7,13.5,1.0571176853203668,0.6649275208010518,0.8030886433420864,0.9421942056669851,0.9649585517297892,0.990065365329513,47.149431130290075,0.7029066416950179,9.836601059614785e-16
7,15.0,1.0197008955484417,0.6385101459050252,0.7779225214724282,0.9369652976758994,0.9649585517297892,0.9895661712034384,43.673642381739036,0.6510893675961202,8.899114524108741e-16
8,9.0,0.9977427318250117,0.6259408675826208,0.7661462311628595,0.9346959567016874,0.9649585517297892,0.9902914577363897,41.891961003849765,0.6245279511828021,8.15843973306311e-16
8,10.5,1.0430419872496848,0.6524932383986048,0.7927272707703447,0.9398637376631647,0.9649585517297892,0.9894229047277937,45.651664507366434,0.6805778440462632,8.08254562088053e-16
8,12.0,1.0555804546135885,0.6630732752490148,0.8018964607754703,0.9422757083731296,0.9649585517297892,0.9899422457020057,46.949576020404756,0.6999271893294764,8.005932084973442e-16
8,13.5,1.0430419872496848,0.6539143360278671,0.79272727362912,0.9410582617000954,0.9649585517297892,0.9894206661891117,45.75109154872937,0.6820601085415646,8.741904837807691e-16
8,15.0,0.9977427318250117,0.6276678728959898,0.7661462375855287,0.9356867239732569,0.9649585517297892,0.99028026504298,42.00754323052318,0.6262510581820391,8.331297329690976e-16
9,9.0,0.951910281491356,0.6085189064736434,0.7464557695530625,0.9326889525628781,0.9649585517297892,0.9926844555873926,38.85517810852377,0.5792554035541382,8.617648093045562e-16
9,10.5,1.0128606871270214,0.6349816723916107,0.7740550625879669,0.9390869149952245,0.9649585517297892,0.9897519699140401,43.14095110407965,0.643147973011632,8.95090418262362e-16
9,12.0,1.029113867315742,0.6447526275976484,0.7835748933871687,0.9411550461636422,0.9649585517297892,0.9894542442693409,44.50772145037296,0.6635238700490023,8.833950494912839e-16
9,13.5,1.0128606871270214,0.6363018734560641,0.7740550651569518,0.9400089143584844,0.9649585517297892,0.9897295845272206,43.230646180403085,0.6444851527689203,7.711855592701269e-16
9,15.0,0.951910281491356,0.6109266951279994,0.7464557757551958,0.9345864374403057,0.9649585517297892,0.9926710243553009,39.00892034400308,0.5815474023298779,7.731808680624463e-16
10,9.0,0.8773667250613628,0.5818336526063866,0.723622182695339,0.9215561922954474,0.9649585517297892,0.9960400250716333,34.2419750429252,0.5104814863177563,8.527784864785346e-16
10,10.5,0.9642046537630655,0.6145251442396433,0.751200661009897,0.9371461318051576,0.9649585517297892,0.991972600286533,39.74547494203476,0.5925280039302833,8.688869536365456e-16
10,12.0,0.9863991872887538,0.6241292041755435,0.760725534661463,0.939766953199618,0.9649585517297892,0.9908309455587393,41.29581299804298,0.6156405397619329,8.527784864785346e-16
10,13.5,0.9642046537630655,0.6161683141435174,0.751200662984805,0.9384705507800063,0.9649585517297892,0.9919390222063037,39.85174979319767,0.5941123559985221,9.019494489765868e-16
10,15.0,0.8773667250613628,0.5838919362175596,0.7236221879607689,0.922727793696275,0.9649585517297892,0.9960758416905444,34.36310879950548,0.5122873558689385,1.008410140090063e-15
11,9.0,0.7826585293571621,0.5307101246943339,0.70392721724455,0.8759910856415154,0.9649585517297892,0.9979024892550143,27.861757364335073,0.4153648057082235,7.771561172376096e-16
11,10.5,0.9038461636315565,0.5945999317585514,0.7307523363157844,0.9315912129894938,0.9649585517297892,0.9950931232091691,36.04941191371136,0.5374268672155521,8.025154038416283e-16
11,12.0,0.9337570792998366,0.6048729691875375,0.7400384281320229,0.9357911493155048,0.9649585517297892,0.9936425501432665,37.88583772639729,0.5648044170559752,8.741904837807691e-16
11,13.5,0.9038461636315565,0.5960744656422923,0.7307523376227072,0.9327169691181152,0.9649585517297892,0.9951020773638969,36.13880997199651,0.538759619009516,8.15843973306311e-16
11,15.0,0.7826585293571621,0.5336214981415656,0.7039272212154669,0.8782273161413563,0.9649585517297892,0.997873388252149,28.014601594752683,0.4176434169688434,8.1773032027145e-16
12,9.0,0.738621609586637,0.5076689361212992,0.6968784535101447,0.8530455269022604,0.9649585517297892,0.9981957378223496,25.15251460544431,0.37497524673504956,9.43689570931383e-16
12,10.5,0.8760418877074063,0.582439225409442,0.7232884897827156,0.9234485832537408,0.9649585517297892,0.9961138968481376,34.22585438180083,0.5102411585025273,8.326672684688674e-16
12,12.0,0.909644265976888,0.5971614815629608,0.7324413869802108,0.9333715377268385,0.9649585517297892,0.9948468839541548,36.43696398838933,0.5432045175660104,7.771561172376096e-16
12,13.5,0.8760418877074063,0.5838525605060265,0.723288490824453,0.924528494110156,0.9649585517297892,0.99609375,34.30890613913118,0.5114792992485022,8.326672684688674e-16
12,15.0,0.738621609586637,0.510905164632856,0.6968784569153003,0.8550499840815028,0.9649585517297892,0.9982517012893983,25.312853911460152,0.37736559504724587,8.514223576271388e-16
