mirror_id,x_m,y_m,radius_to_tower_m,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,average_output_power_kw
392,-174.206,-19.628,175.30826797387508,0.6796216879776413,0.7637666920124939,0.9990370370370371,0.9712110644112342,0.9965494791666667,25.395620101741134
393,-172.252,-32.592,175.30827124810742,0.6667565450502771,0.7519076507396729,0.9957777777777778,0.9712110640846859,0.9967447916666666,24.933604945220306
394,-169.335,-45.373,175.30844632817895,0.6535382914242776,0.7401439167162474,0.9923703703703702,0.971211046623553,0.9965494791666667,24.456032196016512
395,-165.471,-57.901,175.30880651581654,0.6399372497923689,0.7285531205559959,0.9880740740740741,0.9712110107012175,0.996484375,23.967687037904835
396,-160.681,-70.105,175.3085702012312,0.6247115031248256,0.7172168927757258,0.9816296296296297,0.9712110342694107,0.9958333333333333,23.43305574363089
397,-154.993,-81.916,175.30847413915848,0.6089362484795424,0.7062168641950938,0.9742222222222221,0.9712110438499,0.9953125,22.88372855751467
398,-148.438,-93.27,175.308678461735,0.5947332194503531,0.6956312468054588,0.9677777777777777,0.971211023472343,0.9951171875,22.38173242819586
399,-141.053,-104.102,175.3087995880412,0.5818559794227472,0.6855387870684937,0.9620740740740741,0.9712110113921407,0.9944661458333334,21.93121171837473
400,-132.879,-114.352,175.30889465454968,0.5730254722856548,0.6760112895147363,0.9603703703703704,0.9712110019109373,0.9944010416666667,21.624645114974168
401,-123.962,-123.962,175.3087416188936,0.5665046154904962,0.6671147067270862,0.9610370370370369,0.9712110171735361,0.9946614583333333,21.39500061441668
402,-114.352,-132.879,175.30889465454968,0.5637796399613416,0.6589049294313913,0.9668888888888888,0.9712110019109373,0.9947265625,21.28621826923149
403,-104.102,-141.053,175.3087995880412,0.5641086042060665,0.6514288950327916,0.9767407407407409,0.9712110113921407,0.9951822916666667,21.273282845319034
404,-93.27,-148.438,175.308678461735,0.5652386723615204,0.6447238520536375,0.9867407407407409,0.971211023472343,0.9952473958333333,21.307492916715464
405,-81.916,-154.993,175.30847413915848,0.5652011558691121,0.6388174396641674,0.9952592592592592,0.9712110438499,0.9951822916666667,21.285256827070604
406,-70.105,-160.681,175.3085702012312,0.5623705427875725,0.6337302272076747,0.9992592592592592,0.9712110342694107,0.9940755208333333,21.170579527026334
407,-57.901,-165.471,175.30880651581654,0.5586562338752149,0.6294755848827817,1.0,0.9712110107012175,0.9934244791666667,21.032733713723207
408,-45.373,-169.335,175.30844632817895,0.5558828813153661,0.6260639819606306,1.0,0.971211046623553,0.9939453125,20.932450040604017
409,-32.592,-172.252,175.30827124810742,0.5536803806834436,0.6235011486225415,1.0,0.9712110640846859,0.9940755208333333,20.85256592381926
410,-19.628,-174.206,175.30826797387508,0.5522556198790239,0.6217906358475557,1.0,0.9712110644112342,0.9942057291666667,20.801267472657546
411,-6.555,-175.186,175.30859254754174,0.5517312695829489,0.6209347151462878,1.0,0.9712110320407631,0.9946614583333333,20.782673354694086
412,6.555,-175.186,175.30859254754174,0.5515941851681496,0.6209347151462878,1.0,0.9712110320407631,0.9943359375,20.777779850957398
413,19.628,-174.206,175.30826797387508,0.5523870868077448,0.6217906358475559,1.0,0.9712110644112342,0.99453125,20.80591200329641
414,32.592,-172.252,175.30827124810742,0.5539568445177774,0.6235011486225415,1.0,0.9712110640846859,0.9946614583333333,20.862825446601946
